country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,Massachusetts,Suffolk County,2020-05-28,-53.0,-18.0,9.0,-74.0,-58.0,24.0
United States,Massachusetts,Suffolk County,2020-05-29,-54.0,-20.0,4.0,-72.0,-55.0,25.0
United States,Massachusetts,Suffolk County,2020-05-30,-52.0,-13.0,55.0,-64.0,-28.0,11.0
United States,Massachusetts,Suffolk County,2020-05-31,-49.0,-18.0,72.0,-63.0,-27.0,9.0
United States,Massachusetts,Suffolk County,2020-06-01,-48.0,-21.0,-2.0,-72.0,-55.0,22.0
United States,Massachusetts,Suffolk County,2020-06-02,-50.0,-21.0,21.0,-71.0,-56.0,22.0
United States,Massachusetts,Suffolk County,2020-06-03,-50.0,-17.0,20.0,-71.0,-56.0,22.0
United States,Massachusetts,Suffolk County,2020-06-04,-49.0,-13.0,34.0,-71.0,-56.0,21.0
United States,Massachusetts,Suffolk County,2020-06-05,-52.0,-20.0,3.0,-70.0,-53.0,23.0
United States,Massachusetts,Suffolk County,2020-06-06,-53.0,-19.0,25.0,-64.0,-29.0,11.0
United States,Massachusetts,Suffolk County,2020-06-07,-50.0,-23.0,15.0,-66.0,-28.0,10.0
United States,Massachusetts,Suffolk County,2020-06-08,-45.0,-17.0,42.0,-69.0,-53.0,19.0
United States,Massachusetts,Suffolk County,2020-06-09,-47.0,-20.0,18.0,-71.0,-55.0,21.0
United States,Massachusetts,Suffolk County,2020-06-10,-47.0,-18.0,21.0,-69.0,-55.0,21.0
United States,Massachusetts,Suffolk County,2020-06-11,-52.0,-22.0,-19.0,-70.0,-55.0,23.0
United States,Massachusetts,Suffolk County,2020-06-12,-46.0,-16.0,39.0,-66.0,-51.0,19.0
United States,Massachusetts,Suffolk County,2020-06-13,-45.0,-13.0,78.0,-58.0,-24.0,7.0
United States,Massachusetts,Suffolk County,2020-06-14,-42.0,-20.0,68.0,-62.0,-23.0,7.0
United States,Massachusetts,Suffolk County,2020-06-15,-42.0,-18.0,28.0,-67.0,-53.0,19.0
